"";"cod_ibge";"nome_mun";"nome_uf"
"1";110001;"Alta Floresta D'Oeste";"Rondônia"
"2";110002;"Ariquemes";"Rondônia"
"3";110003;"Cabixi";"Rondônia"
"4";110004;"Cacoal";"Rondônia"
"5";110005;"Cerejeiras";"Rondônia"
"6";110006;"Colorado do Oeste";"Rondônia"
"7";110007;"Corumbiara";"Rondônia"
"8";110008;"Costa Marques";"Rondônia"
"9";110009;"Espigão D'Oeste";"Rondônia"
"10";110010;"Guajará-Mirim";"Rondônia"
"11";110011;"Jaru";"Rondônia"
"12";110012;"Ji-Paraná";"Rondônia"
"13";110013;"Machadinho D'Oeste";"Rondônia"
"14";110014;"Nova Brasilândia D'Oeste";"Rondônia"
"15";110015;"Ouro Preto do Oeste";"Rondônia"
"16";110018;"Pimenta Bueno";"Rondônia"
"17";110020;"Porto Velho";"Rondônia"
"18";110025;"Presidente Médici";"Rondônia"
"19";110026;"Rio Crespo";"Rondônia"
"20";110028;"Rolim de Moura";"Rondônia"
"21";110029;"Santa Luzia D'Oeste";"Rondônia"
"22";110030;"Vilhena";"Rondônia"
"23";110032;"São Miguel do Guaporé";"Rondônia"
"24";110033;"Nova Mamoré";"Rondônia"
"25";110034;"Alvorada D'Oeste";"Rondônia"
"26";110037;"Alto Alegre dos Parecis";"Rondônia"
"27";110040;"Alto Paraíso";"Rondônia"
"28";110045;"Buritis";"Rondônia"
"29";110050;"Novo Horizonte do Oeste";"Rondônia"
"30";110060;"Cacaulândia";"Rondônia"
"31";110070;"Campo Novo de Rondônia";"Rondônia"
"32";110080;"Candeias do Jamari";"Rondônia"
"33";110090;"Castanheiras";"Rondônia"
"34";110092;"Chupinguaia";"Rondônia"
"35";110094;"Cujubim";"Rondônia"
"36";110100;"Governador Jorge Teixeira";"Rondônia"
"37";110110;"Itapuã do Oeste";"Rondônia"
"38";110120;"Ministro Andreazza";"Rondônia"
"39";110130;"Mirante da Serra";"Rondônia"
"40";110140;"Monte Negro";"Rondônia"
"41";110143;"Nova União";"Rondônia"
"42";110145;"Parecis";"Rondônia"
"43";110146;"Pimenteiras do Oeste";"Rondônia"
"44";110147;"Primavera de Rondônia";"Rondônia"
"45";110148;"São Felipe D'Oeste";"Rondônia"
"46";110149;"São Francisco do Guaporé";"Rondônia"
"47";110150;"Seringueiras";"Rondônia"
"48";110155;"Teixeirópolis";"Rondônia"
"49";110160;"Theobroma";"Rondônia"
"50";110170;"Urupá";"Rondônia"
"51";110175;"Vale do Anari";"Rondônia"
"52";110180;"Vale do Paraíso";"Rondônia"
"53";120001;"Acrelândia";"Acre"
"54";120005;"Assis Brasil";"Acre"
"55";120010;"Brasiléia";"Acre"
"56";120013;"Bujari";"Acre"
"57";120017;"Capixaba";"Acre"
"58";120020;"Cruzeiro do Sul";"Acre"
"59";120025;"Epitaciolândia";"Acre"
"60";120030;"Feijó";"Acre"
"61";120032;"Jordão";"Acre"
"62";120033;"Mâncio Lima";"Acre"
"63";120034;"Manoel Urbano";"Acre"
"64";120035;"Marechal Thaumaturgo";"Acre"
"65";120038;"Plácido de Castro";"Acre"
"66";120039;"Porto Walter";"Acre"
"67";120040;"Rio Branco";"Acre"
"68";120042;"Rodrigues Alves";"Acre"
"69";120043;"Santa Rosa do Purus";"Acre"
"70";120045;"Senador Guiomard";"Acre"
"71";120050;"Sena Madureira";"Acre"
"72";120060;"Tarauacá";"Acre"
"73";120070;"Xapuri";"Acre"
"74";120080;"Porto Acre";"Acre"
"75";130002;"Alvarães";"Amazonas"
"76";130006;"Amaturá";"Amazonas"
"77";130008;"Anamã";"Amazonas"
"78";130010;"Anori";"Amazonas"
"79";130014;"Apuí";"Amazonas"
"80";130020;"Atalaia do Norte";"Amazonas"
"81";130030;"Autazes";"Amazonas"
"82";130040;"Barcelos";"Amazonas"
"83";130050;"Barreirinha";"Amazonas"
"84";130060;"Benjamin Constant";"Amazonas"
"85";130063;"Beruri";"Amazonas"
"86";130068;"Boa Vista do Ramos";"Amazonas"
"87";130070;"Boca do Acre";"Amazonas"
"88";130080;"Borba";"Amazonas"
"89";130083;"Caapiranga";"Amazonas"
"90";130090;"Canutama";"Amazonas"
"91";130100;"Carauari";"Amazonas"
"92";130110;"Careiro";"Amazonas"
"93";130115;"Careiro da Várzea";"Amazonas"
"94";130120;"Coari";"Amazonas"
"95";130130;"Codajás";"Amazonas"
"96";130140;"Eirunepé";"Amazonas"
"97";130150;"Envira";"Amazonas"
"98";130160;"Fonte Boa";"Amazonas"
"99";130165;"Guajará";"Amazonas"
"100";130170;"Humaitá";"Amazonas"
"101";130180;"Ipixuna";"Amazonas"
"102";130185;"Iranduba";"Amazonas"
"103";130190;"Itacoatiara";"Amazonas"
"104";130195;"Itamarati";"Amazonas"
"105";130200;"Itapiranga";"Amazonas"
"106";130210;"Japurá";"Amazonas"
"107";130220;"Juruá";"Amazonas"
"108";130230;"Jutaí";"Amazonas"
"109";130240;"Lábrea";"Amazonas"
"110";130250;"Manacapuru";"Amazonas"
"111";130255;"Manaquiri";"Amazonas"
"112";130260;"Manaus";"Amazonas"
"113";130270;"Manicoré";"Amazonas"
"114";130280;"Maraã";"Amazonas"
"115";130290;"Maués";"Amazonas"
"116";130300;"Nhamundá";"Amazonas"
"117";130310;"Nova Olinda do Norte";"Amazonas"
"118";130320;"Novo Airão";"Amazonas"
"119";130330;"Novo Aripuanã";"Amazonas"
"120";130340;"Parintins";"Amazonas"
"121";130350;"Pauini";"Amazonas"
"122";130353;"Presidente Figueiredo";"Amazonas"
"123";130356;"Rio Preto da Eva";"Amazonas"
"124";130360;"Santa Isabel do Rio Negro";"Amazonas"
"125";130370;"Santo Antônio do Içá";"Amazonas"
"126";130380;"São Gabriel da Cachoeira";"Amazonas"
"127";130390;"São Paulo de Olivença";"Amazonas"
"128";130395;"São Sebastião do Uatumã";"Amazonas"
"129";130400;"Silves";"Amazonas"
"130";130406;"Tabatinga";"Amazonas"
"131";130410;"Tapauá";"Amazonas"
"132";130420;"Tefé";"Amazonas"
"133";130423;"Tonantins";"Amazonas"
"134";130426;"Uarini";"Amazonas"
"135";130430;"Urucará";"Amazonas"
"136";130440;"Urucurituba";"Amazonas"
"137";140002;"Amajari";"Roraima"
"138";140005;"Alto Alegre";"Roraima"
"139";140010;"Boa Vista";"Roraima"
"140";140015;"Bonfim";"Roraima"
"141";140017;"Cantá";"Roraima"
"142";140020;"Caracaraí";"Roraima"
"143";140023;"Caroebe";"Roraima"
"144";140028;"Iracema";"Roraima"
"145";140030;"Mucajaí";"Roraima"
"146";140040;"Normandia";"Roraima"
"147";140045;"Pacaraima";"Roraima"
"148";140047;"Rorainópolis";"Roraima"
"149";140050;"São João da Baliza";"Roraima"
"150";140060;"São Luiz";"Roraima"
"151";140070;"Uiramutã";"Roraima"
"152";150010;"Abaetetuba";"Pará"
"153";150013;"Abel Figueiredo";"Pará"
"154";150020;"Acará";"Pará"
"155";150030;"Afuá";"Pará"
"156";150034;"Água Azul do Norte";"Pará"
"157";150040;"Alenquer";"Pará"
"158";150050;"Almeirim";"Pará"
"159";150060;"Altamira";"Pará"
"160";150070;"Anajás";"Pará"
