cod_ibge,nome_mun,CO_REGIAO,CO_UF,nome_grande_regiao,nome_uf,sigla_uf,CO_MACSAUD,nome_macroregiao,CO_REGSAUD,nome_rs
110001,Alta Floresta D'Oeste,1,11,Região Norte,Rondônia,RO,1101,MACRORREGIONAL II (CACOAL),11005,Zona da Mata
110002,Ariquemes,1,11,Região Norte,Rondônia,RO,1102,MACRORREGIAO I - PORTO VELHO,11001,Vale do Jamari
110003,Cabixi,1,11,Região Norte,Rondônia,RO,1101,MACRORREGIONAL II (CACOAL),11006,Cone Sul
110004,Cacoal,1,11,Região Norte,Rondônia,RO,1101,MACRORREGIONAL II (CACOAL),11002,Café
110005,Cerejeiras,1,11,Região Norte,Rondônia,RO,1101,MACRORREGIONAL II (CACOAL),11006,Cone Sul
110006,Colorado do Oeste,1,11,Região Norte,Rondônia,RO,1101,MACRORREGIONAL II (CACOAL),11006,Cone Sul
110007,Corumbiara,1,11,Região Norte,Rondônia,RO,1101,MACRORREGIONAL II (CACOAL),11006,Cone Sul
110008,Costa Marques,1,11,Região Norte,Rondônia,RO,1101,MACRORREGIONAL II (CACOAL),11007,Vale do Guaporé
110009,Espigão D'Oeste,1,11,Região Norte,Rondônia,RO,1101,MACRORREGIONAL II (CACOAL),11002,Café
110010,Guajará-Mirim,1,11,Região Norte,Rondônia,RO,1102,MACRORREGIAO I - PORTO VELHO,11004,Madeira-Mamoré
110011,Jaru,1,11,Região Norte,Rondônia,RO,1102,MACRORREGIAO I - PORTO VELHO,11003,Central
110012,Ji-Paraná,1,11,Região Norte,Rondônia,RO,1101,MACRORREGIONAL II (CACOAL),11003,Central
110013,Machadinho D'Oeste,1,11,Região Norte,Rondônia,RO,1102,MACRORREGIAO I - PORTO VELHO,11001,Vale do Jamari
110014,Nova Brasilândia D'Oeste,1,11,Região Norte,Rondônia,RO,1101,MACRORREGIONAL II (CACOAL),11005,Zona da Mata
110015,Ouro Preto do Oeste,1,11,Região Norte,Rondônia,RO,1101,MACRORREGIONAL II (CACOAL),11003,Central
110018,Pimenta Bueno,1,11,Região Norte,Rondônia,RO,1101,MACRORREGIONAL II (CACOAL),11002,Café
110020,Porto Velho,1,11,Região Norte,Rondônia,RO,1102,MACRORREGIAO I - PORTO VELHO,11004,Madeira-Mamoré
110025,Presidente Médici,1,11,Região Norte,Rondônia,RO,1101,MACRORREGIONAL II (CACOAL),11003,Central
110026,Rio Crespo,1,11,Região Norte,Rondônia,RO,1102,MACRORREGIAO I - PORTO VELHO,11001,Vale do Jamari
110028,Rolim de Moura,1,11,Região Norte,Rondônia,RO,1101,MACRORREGIONAL II (CACOAL),11005,Zona da Mata
110029,Santa Luzia D'Oeste,1,11,Região Norte,Rondônia,RO,1101,MACRORREGIONAL II (CACOAL),11005,Zona da Mata
110030,Vilhena,1,11,Região Norte,Rondônia,RO,1101,MACRORREGIONAL II (CACOAL),11006,Cone Sul
110032,São Miguel do Guaporé,1,11,Região Norte,Rondônia,RO,1101,MACRORREGIONAL II (CACOAL),11003,Central
110033,Nova Mamoré,1,11,Região Norte,Rondônia,RO,1102,MACRORREGIAO I - PORTO VELHO,11004,Madeira-Mamoré
110034,Alvorada D'Oeste,1,11,Região Norte,Rondônia,RO,1101,MACRORREGIONAL II (CACOAL),11003,Central
110037,Alto Alegre dos Parecis,1,11,Região Norte,Rondônia,RO,1101,MACRORREGIONAL II (CACOAL),11005,Zona da Mata
110040,Alto Paraíso,1,11,Região Norte,Rondônia,RO,1102,MACRORREGIAO I - PORTO VELHO,11001,Vale do Jamari
