nome_mun,ibge,faixa_de_porte_populacional_segundo_o_ibge_2022,indice_de_vulnerabilidade_social,ano,desp_final,estimado,tx_mort,tx_inter,inv_tx_mort,inv_tx_inter,tx_sobrev_mort,tx_sobrev_inter,ef_bcc,ef_ccr,ef_scale,v_desp_por_hab,v_tx_mort,v_tx_inter,uf,peer1,mun_ref,peer2,peer3,categorizacao_mort,categorizacao_inter,categorizacao_desp,ef_bcc_corrigido
Abadia de Goiás,520005,1-Até 20mil hab.,4,2022,43664.135780537334,não,518.136234380487,462.7531907082513,0.00192999434057271,0.00216097915709556,191.9994340572719,215.0979157095565,0.5,0.5,1,0,258.9,231,GO,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,5% menores,0.5552029333333333
Abadia dos Dourados,310010,1-Até 20mil hab.,4,2022,43664.135780537334,não,504.688117670938,493.04271562318326,0.00198142172360794,0.0020282218321308,197.1421723607946,201.82218321308045,0.512,0.512,1,0,245.5,261.3,MG,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,5% menores,0.5638293999999999
Abadiânia,520010,1-Até 20mil hab.,4,2022,91738.48794008674,não,405.26199948897414,309.6020139557041,0.00246753952075688,0.0032299531492811,245.7539520756885,321.9953149281108,0.748,0.356,0.476,48074.35215950428,146,77.8,GO,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.7702572999999995
Abaetetuba,150010,4-Acima de 100mil hab.,2,2022,77542.11193383542,sim,432.0025514895034,1363.383224468094,0.0023148011430768,7.334694912284377e-4,230.48011430768076,72.34694912284378,0.599,0.337,0.563,33877.976153299845,172.8,1131.6,PA,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.6090798333333322
Abaeté,310020,2-Acima de 20mil até 50mil hab.,4,2022,46147.426538461536,não,393.8064662320215,936.0959054195938,0.00253931838541935,0.00106826661051547,252.93183854193583,105.82666105154703,0.657,0.622,0.947,2483.2907579249886,134.6,704.3,MG,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.6322327999999995
Abaiara,230010,1-Até 20mil hab.,2,2022,52084.85636363636,não,467.8639039495659,617.1859263939435,0.00213737369255952,0.00162025729563008,212.7373692559528,161.02572956300855,0.553,0.464,0.839,8420.720583081089,208.6,385.4,CE,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.5780890999999998
Abaré,290020,1-Até 20mil hab.,1,2022,86161.69333333334,não,422.9530928209543,779.468661382643,0.00236432837819044,0.00128292521501271,235.43283781904455,127.29252150127144,0.612,0.31,0.507,42497.55755277807,163.7,547.7,BA,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.6468405666666674
Abatiá,410010,1-Até 20mil hab.,4,2022,91562.952,não,442.4476060028303,748.692099390638,0.00226015461815743,0.00133566255182057,225.01546181574392,132.5662551820571,0.585,0.279,0.477,47898.81621944473,183.2,516.9,PR,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.5892693666666663
Abaíra,290010,1-Até 20mil hab.,2,2022,66748.34007575757,não,346.1882984810897,231.75208618438188,0.002888601389439,0.0043149557635671,287.86013894390027,430.4955763567109,1,0.654,0.654,23084.20429518831,87,0,BA,430155,GO-Abadia de Goiás (100%),NA,NA,Entre 5% menores e 5% maiores,5% menores,Entre 5% menores e 5% maiores,0.9326154999999996
Abdon Batista,420005,1-Até 20mil hab.,4,2022,107603.06738095236,não,259.2279778913868,326.6759314621489,0.00385760830344858,0.00306113767097612,384.76083034485856,305.1137670976129,1,0.406,0.406,63938.9316004176,0,94.9,SC,430155,GO-Abadia de Goiás (100%),NA,NA,5% menores,Entre 5% menores e 5% maiores,Entre 5% menores e 5% maiores,0.9548998666666665
